"";"keyword";"sessions" ;false ;None
"1";""" m. behrend""";1 ;true ;behrend
"2";""" m. voß""";1 ;false ;None
"3";"""hans møller""";1 ;true ;hans
"4";"""horst engel""";1 ;true ;engel
"5";"""ingo schwarz""";1 ;true ;ingo
"6";"""kai krüger""";1 ;true ;kai
"7";"""makler""";1 ;false ;None
"8";"""michael noth""";1 ;true ;michael
"9";"""michael weber""";1 ;true ;michael
"10";"""nicole schild""";1 ;true ;nicole
"11";"""nicole schild"" reinbek";1 ;true ;nicole
"12";"""petra maurer""";1 ;true ;petra
"13";"""stefan schulte""";1 ;true ;stefan
"14";"""talat erdogan""";1 ;true ;talat
"15";"""thomas fleck""";1 ;true ;thomas
"16";"""torsten martens""";1 ;true ;torsten
"17";"(not provided)";3516 ;false ;None
"18";"1 2 3 makler";12 ;false ;None
"19";"1% immobilien";2 ;false ;None
"20";"123 immobilien";20 ;false ;None
"21";"123 immobilien ratingen";1 ;false ;None
"22";"123 makler";201 ;false ;None
"23";"123 makler achim krapp";1 ;true ;achim
"24";"123 verkauft";2 ;false ;None
"25";"123-service-gmbh.de";1 ;false ;None
"26";"123makler";342 ;false ;None
"27";"123makler alois monastiriotis";1 ;true ;alois
"28";"123makler erfahrungen";28 ;false ;None
"29";"123makler.de";38 ;false ;None
"30";"1a beraten";1 ;false ;None
"31";"1a immobilien bremen";1 ;false ;None
"32";"1a immobilienmakler";2 ;false ;None
"33";"3 57 maklerprovision";1 ;false ;None
"34";"3 objekt grenze ehepartner";1 ;false ;None
"35";"30 nachlass auf den verkehrswert";1 ;false ;None
"36";"3a immobilien";3 ;false ;None
"37";"3a immobilien halle - immobiliengruppe retzlaff ohg";1 ;true ;halle
"38";"3d rundgang immobilien erstellen";1 ;false ;None
"39";"3v immobilien";2 ;false ;None
"40";"3x1 immobilien";4 ;false ;None
"41";"3x1 immobilien erfurt";6 ;false ;None
"42";"3x1 immobilien gmbh erfurt";1 ;false ;None
"43";"4 you immobilien holzwickede";1 ;false ;None
"44";"5 plus immobilien heinrichs";1 ;false ;None
"45";"5plus immobilien";1 ;false ;None
"46";"ab partner immobilien";2 ;true ;ab
"47";"ab wann ist man eigentümer einer immobilie";1 ;true ;ab
"48";"abaco immobilien berlin";1 ;false ;None
"49";"abaco immobilien heusenstamm";1 ;false ;None
"50";"abacus immobilien";5 ;false ;None
"51";"abc immobilien bonn";3 ;false ;None
"52";"abc-immobilien";2 ;false ;None
"53";"abel immobilien";13 ;true ;abel
"54";"abel immobilien bewertung";1 ;true ;abel
"55";"abel immobilien erfahrungen";2 ;true ;abel
"56";"ablauf grundstückskauf";1 ;false ;None
"57";"ablauf grundstücksverkauf";1 ;false ;None
"58";"abmahnung mieter wegen verschmutzung";2 ;false ;None
"59";"abraham immobilien";1 ;true ;abraham
"60";"absimmo";1 ;false ;None
"61";"abuss";1 ;false ;None
"62";"abuss immobilien";4 ;false ;None
"63";"abwicklung hausverkauf";1 ;false ;None
"64";"ac immobilien speyer";1 ;false ;None
"65";"achim dengler";1 ;true ;achim
"66";"acker für bauplatz verkaufwn";1 ;false ;None
"67";"acker verkaufen";1 ;false ;None
"68";"ackerland verkaufen steuern zahlen";4 ;false ;None
"69";"act bielefeld";1 ;false ;None
"70";"act immobilien";1 ;false ;None
"71";"adam immobilien";1 ;true ;adam
"72";"adam und bender";1 ;true ;adam
"73";"adem yaman";2 ;true ;yaman
"74";"adler immobilien lüdenscheid";3 ;false ;None
"75";"adler immobilien service";1 ;false ;None
"76";"adorable immobilien";3 ;false ;None
"77";"adorable immobilien berlin";3 ;false ;None
"78";"adorable immobilien berlin gmbh";1 ;false ;None
"79";"adoria immobilien";7 ;false ;None
"80";"adressenmakler bielefeld";1 ;false ;None
"81";"adressenmakler neuss";1 ;false ;None
"82";"adressenmakler ratingen";1 ;false ;None
"83";"adressenmakler siegen";1 ;false ;None
"84";"adressenmakler troisdorf";1 ;false ;None
"85";"adressenmakler würzburg";1 ;false ;None
"86";"adrian golly";10 ;true ;adrian
"87";"adrian pelka";6 ;true ;adrian
"88";"aew immobilien";2 ;false ;None
"89";"afp immobilien";9 ;false ;None
"90";"afp immobilien management";1 ;false ;None
"91";"agathe brzek";2 ;true ;agathe
"92";"agentur bodensee";2 ;false ;None
"93";"agentur plus";1 ;false ;None
"94";"agentur plus berlin";1 ;false ;None
"95";"aggi ahlfänger";4 ;false ;None
"96";"agrarflächen verkaufen";4 ;false ;None
"97";"ah immobilien";2 ;true ;ah
"98";"ahlfänger";1 ;false ;None
"99";"ahmet ulusoy";9 ;true ;ahmet
"100";"aivg";1 ;false ;None
