"";"keyword";"sessions" ;"false" ;38
"1";""" m. behrend""";1 ;"false" ;22
"2";""" m. voί""";1 ;"false" ;14
"3";"""hans mψller""";1 ;"false" ;40
"4";"""horst engel""";1 ;"false" ;20
"5";"""ingo schwarz""";1 ;"false" ;19
"6";"""kai krόger""";1 ;"false" ;42
"7";"""makler""";1 ;"true" ;80
"8";"""michael noth""";1 ;"false" ;29
"9";"""michael weber""";1 ;"false" ;45
"10";"""nicole schild""";1 ;"false" ;18
"11";"""nicole schild"" reinbek";1 ;"false" ;20
"12";"""petra maurer""";1 ;"false" ;38
"13";"""stefan schulte""";1 ;"false" ;17
"14";"""talat erdogan""";1 ;"false" ;18
"15";"""thomas fleck""";1 ;"false" ;19
"16";"""torsten martens""";1 ;"false" ;33
"17";"(not provided)";3516 ;"false" ;10
"18";"1 2 3 makler";12 ;"true" ;86
"19";"1% immobilien";2 ;"false" ;38
"20";"123 immobilien";20 ;"true" ;52
"21";"123 immobilien ratingen";1 ;"false" ;44
"22";"123 makler";201 ;"true" ;95
"23";"123 makler achim krapp";1 ;"true" ;58
"24";"123 verkauft";2 ;"false" ;48
"25";"123-service-gmbh.de";1 ;"false" ;43
"26";"123makler";342 ;"true" ;100
"27";"123makler alois monastiriotis";1 ;"false" ;47
"28";"123makler erfahrungen";28 ;"true" ;60
"29";"123makler.de";38 ;"true" ;86
"30";"1a beraten";1 ;"false" ;42
"31";"1a immobilien bremen";1 ;"false" ;28
"32";"1a immobilienmakler";2 ;"true" ;50
"33";"3 57 maklerprovision";1 ;"false" ;48
"34";"3 objekt grenze ehepartner";1 ;"false" ;23
"35";"30 nachlass auf den verkehrswert";1 ;"false" ;24
"36";"3a immobilien";3 ;"false" ;36
"37";"3a immobilien halle - immobiliengruppe retzlaff ohg";1 ;"false" ;17
"38";"3d rundgang immobilien erstellen";1 ;"false" ;24
"39";"3v immobilien";2 ;"false" ;36
"40";"3x1 immobilien";4 ;"false" ;35
"41";"3x1 immobilien erfurt";6 ;"false" ;27
"42";"3x1 immobilien gmbh erfurt";1 ;"false" ;23
"43";"4 you immobilien holzwickede";1 ;"false" ;16
"44";"5 plus immobilien heinrichs";1 ;"false" ;17
"45";"5plus immobilien";1 ;"false" ;24
"46";"ab partner immobilien";2 ;"false" ;27
"47";"ab wann ist man eigentόmer einer immobilie";1 ;"false" ;12
"48";"abaco immobilien berlin";1 ;"false" ;19
"49";"abaco immobilien heusenstamm";1 ;"false" ;16
"50";"abacus immobilien";5 ;"false" ;23
"51";"abc immobilien bonn";3 ;"false" ;21
"52";"abc-immobilien";2 ;"false" ;26
"53";"abel immobilien";13 ;"false" ;25
"54";"abel immobilien bewertung";1 ;"false" ;24
"55";"abel immobilien erfahrungen";2 ;"false" ;22
"56";"ablauf grundstόckskauf";1 ;"false" ;19
"57";"ablauf grundstόcksverkauf";1 ;"false" ;24
"58";"abmahnung mieter wegen verschmutzung";2 ;"false" ;18
"59";"abraham immobilien";1 ;"false" ;22
"60";"absimmo";1 ;"false" ;12
"61";"abuss";1 ;"false" ;14
"62";"abuss immobilien";4 ;"false" ;24
"63";"abwicklung hausverkauf";1 ;"false" ;32
"64";"ac immobilien speyer";1 ;"false" ;28
"65";"achim dengler";1 ;"false" ;36
"66";"acker fόr bauplatz verkaufwn";1 ;"false" ;27
"67";"acker verkaufen";1 ;"false" ;33
"68";"ackerland verkaufen steuern zahlen";4 ;"false" ;23
"69";"act bielefeld";1 ;"false" ;27
"70";"act immobilien";1 ;"false" ;26
"71";"adam immobilien";1 ;"false" ;25
"72";"adam und bender";1 ;"false" ;25
"73";"adem yaman";2 ;"false" ;21
"74";"adler immobilien lόdenscheid";3 ;"false" ;22
"75";"adler immobilien service";1 ;"false" ;24
