"";"keyword";"sessions" ;"false" ;11
"1";"&m direct";226 ;"true" ;63
"2";"(not provided)";9789 ;"false" ;26
"3";",m,m,";7 ;"false" ;29
"4";". mm";13 ;"false" ;31
"5";"/mm";12 ;"false" ;31
"6";"10 or less clothes";1 ;"false" ;14
"7";"10 or less clothing";1 ;"false" ;13
"8";"11 pro adidas";1 ;"false" ;33
"9";"2 in 1 leggings";1 ;"false" ;15
"10";"3 4 track pants";2 ;"false" ;31
"11";"3/4 adidas leggings";2 ;"false" ;27
"12";"3/4 track pants";12 ;"false" ;31
"13";"5mm track spikes";1 ;"false" ;37
"14";"75 off clearance";2 ;"false" ;22
"15";"75% off";2 ;"false" ;0
"16";"750 zx";1 ;"false" ;0
"17";"80 off clearance";1 ;"false" ;22
"18";"80 off sale";4 ;"false" ;18
"19";"80% discount";1 ;"false" ;36
"20";"80% of 80";2 ;"false" ;0
"21";"80% off";10 ;"false" ;0
"22";"80% off 80";1 ;"false" ;0
"23";"80%off";1 ;"false" ;0
"24";"80s trainers";1 ;"false" ;26
"25";"883 police jeans";1 ;"false" ;30
"26";";mm";9 ;"false" ;0
"27";"a & m clothing";12 ;"false" ;26
"28";"a and a sports";16 ;"false" ;40
"29";"a and m";10 ;"false" ;44
"30";"aadidas neo";1 ;"false" ;36
"31";"aasics running shoes";3 ;"false" ;26
"32";"ac milan hoodie";1 ;"false" ;31
"33";"ac milan shirt";1 ;"false" ;48
"34";"ace 15.1 sg";2 ;"false" ;18
"35";"ace 16 tkrz";2 ;"false" ;27
"36";"ace 16.1";1 ;"false" ;21
"37";"ace 16.1 fg leather";1 ;"false" ;20
"38";"ace 16.1 primeknit sg";2 ;"false" ;25
"39";"ace pro goalkeeper gloves";2 ;"false" ;11
"40";"acics running shoes";1 ;"false" ;27
"41";"acics uk";2 ;"false" ;32
"42";"acsics trainers";2 ;"false" ;31
"43";"addas trainers";1 ;"false" ;40
"44";"addias trainers";12 ;"false" ;46
"45";"addida trainers";1 ;"false" ;46
"46";"addidad trainers";2 ;"false" ;44
"47";"addidas adios boost";2 ;"false" ;33
"48";"addidas all stars";2 ;"false" ;36
"49";"addidas aqua shoes";1 ;"false" ;34
"50";"addidas black trainers";4 ;"false" ;36
"51";"addidas blue trainers";4 ;"false" ;38
"52";"addidas boots";1 ;"false" ;42
"53";"addidas bucket hat";1 ;"false" ;41
"54";"addidas cheap";6 ;"false" ;42
"55";"addidas dragon";2 ;"false" ;40
"56";"addidas dragon blue";2 ;"false" ;33
"57";"addidas dragon trainers";2 ;"false" ;35
"58";"addidas dragons";7 ;"false" ;38
"59";"addidas ease";1 ;"false" ;43
"60";"addidas flux";4 ;"false" ;35
"61";"addidas flux sale";2 ;"false" ;36
"62";"addidas gazelle trainers";3 ;"false" ;34
"63";"addidas gazelles";17 ;"false" ;37
"64";"addidas glide boost";3 ;"false" ;33
"65";"addidas la trainers";5 ;"false" ;40
"66";"addidas mens trainers";10 ;"false" ;38
"67";"addidas messenger bag";1 ;"false" ;31
"68";"addidas neo";5 ;"false" ;45
"69";"addidas neo label";1 ;"false" ;36
"70";"addidas neo trainers";1 ;"false" ;39
"71";"addidas original shorts";2 ;"false" ;35
"72";"addidas original trainers";2 ;"false" ;33
"73";"addidas plimcana";1 ;"false" ;37
"74";"addidas predator boots";1 ;"false" ;42
"75";"addidas pts";1 ;"false" ;45
"76";"addidas pure boost zg";1 ;"false" ;38
"77";"addidas rs7";1 ;"false" ;45
"78";"addidas sale";9 ;"false" ;43
"79";"addidas sale uk";1 ;"false" ;38
"80";"addidas samba";35 ;"false" ;33
"81";"addidas samba trainers";7 ;"false" ;36
"82";"addidas samba white";2 ;"false" ;33
"83";"addidas sambas";3 ;"false" ;32
"84";"addidas shoes cheap";2 ;"false" ;33
"85";"addidas stan smith trainers";1 ;"false" ;32
"86";"addidas super samba";1 ;"false" ;33
"87";"addidas swim trunks";1 ;"false" ;33
"88";"addidas trainer";2 ;"false" ;46
"89";"addidas trainer sale";3 ;"false" ;39
"90";"addidas trainers";64 ;"false" ;44
"91";"addidas trainers blue";1 ;"false" ;38
"92";"addidas trainners";2 ;"false" ;43
"93";"addidas traniers";2 ;"false" ;44
"94";"addidas tubular runner";1 ;"false" ;42
"95";"addidas ultra boost sale";3 ;"false" ;34
"96";"addidas vest";1 ;"true" ;52
"97";"addidas walking boots";1 ;"false" ;31
"98";"addidas white trainers";4 ;"false" ;42
"99";"addidas zx trainers";1 ;"false" ;40
"100";"addidass trainers";1 ;"false" ;43
"101";"addids flux";1 ;"false" ;36
"102";"addifas";1 ;"false" ;44
"103";"addisas trainers";3 ;"false" ;44
"104";"adi ease surf";1 ;"false" ;33
"105";"adi ease trainers";4 ;"false" ;36
"106";"adi rise 2.0";2 ;"false" ;43
"107";"adi sun flip flops";2 ;"false" ;21
"108";"adias trainers";2 ;"false" ;40
"109";"adiboost";3 ;"false" ;42
"110";"adiboost esm";5 ;"false" ;35
"111";"adida gazelle";1 ;"false" ;33
"112";"adida gazelle sale";3 ;"false" ;28
"113";"adida nizza";1 ;"false" ;36
"114";"adida running shoes";1 ;"false" ;33
"115";"adida trainers";9 ;"false" ;40
"116";"adidad trainers";2 ;"false" ;38
"117";"adidas";16 ;"false" ;35
"118";"adidas 11 pro fg";1 ;"false" ;30
"119";"adidas 118 pro";2 ;"false" ;32
"120";"adidas 118 pro rugby fg boots";4 ;"false" ;20
"121";"adidas 11pro fg";1 ;"false" ;23
"122";"adidas 11pro football boots";1 ;"false" ;21
"123";"adidas 16.1 astro";1 ;"false" ;29
"124";"adidas 16.1 green";1 ;"false" ;36
"125";"adidas 3 stripe cap";2 ;"false" ;33
"126";"adidas 3 stripe estro t shirt junior";1 ;"false" ;30
"127";"adidas 3 stripe estro t shirt mens";7 ;"false" ;31
"128";"adidas 3 stripe hoodie";1 ;"false" ;36
"129";"adidas 3 stripe hoodie mens";5 ;"false" ;32
"130";"adidas 3 stripe rugby shorts";4 ;"false" ;26
"131";"adidas 3 stripe swim shorts";1 ;"false" ;26
"132";"adidas 3 stripe t shirt mens";5 ;"false" ;36
"133";"adidas 3 stripe tracksuit";1 ;"false" ;39
"134";"adidas 5.5";1 ;"false" ;29
"135";"adidas 500";1 ;"false" ;29
"136";"adidas 70s trainers";1 ;"false" ;33
"137";"adidas 750 zx";3 ;"false" ;25
"138";"adidas 80 off";1 ;"false" ;25
"139";"adidas 850 zx";1 ;"false" ;25
"140";"adidas aa1660";1 ;"false" ;25
"141";"adidas ac5414";1 ;"false" ;25
"142";"adidas ace 15.1 fg";2 ;"false" ;21
"143";"adidas ace 15.1 sg";1 ;"false" ;21
"144";"adidas ace 15.1 sg black";4 ;"false" ;23
"145";"adidas ace 15.2 sg";1 ;"false" ;21
"146";"adidas ace 15.2 tf";1 ;"false" ;28
"147";"adidas ace 16 tkrz";1 ;"false" ;28
"148";"adidas ace 16+ purecontrol fg";4 ;"false" ;36
"149";"adidas ace 16+ silver";3 ;"false" ;32
"150";"adidas ace 16.1 fg/ag";1 ;"false" ;19
"151";"adidas ace 16.2 court";1 ;"false" ;31
"152";"adidas ace cheap";2 ;"false" ;30
"153";"adidas ace laceless cheap";4 ;"false" ;28
"154";"adidas ace pro goalkeeper gloves";1 ;"false" ;19
"155";"adidas ace zones";1 ;"false" ;30
"156";"adidas ace zones fingersave";1 ;"false" ;32
"157";"adidas ace zones fingersave allround";1 ;"false" ;26
"158";"adidas ace zones pro gloves";1 ;"false" ;26
